Lombardia Automobili - reference photographs used as image-model inputs only (never printed or sold).
Source: Wikimedia Commons. Each line: local file | title | author | licence | page.
ref-miura-4.jpg | File:"Eyelashes" (5482889601).jpg | Shane K from Mississauga, Canada | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:%22Eyelashes%22_(5482889601).jpg
ref-miura-5.jpg | File:Lamborghini logo - panoramio.jpg | appmood | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Lamborghini_logo_-_panoramio.jpg
ref-miura-6.jpg | File:Lamborghini Miura P400 (1967) (52965465605).jpg | Charles from Port Chester, New York | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Lamborghini_Miura_P400_(1967)_(52965465605).jpg
ref-miura-7.jpg | File:Lamborghini Miura P400 (1967) (52965465630).jpg | Charles from Port Chester, New York | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Lamborghini_Miura_P400_(1967)_(52965465630).jpg
ref-miura-8.jpg | File:1967 Lamborghini Miura P400 opened up LC24.jpg | MrWalkr | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1967_Lamborghini_Miura_P400_opened_up_LC24.jpg
ref-miura-9.jpg | File:12-01-03-autostadtl-by-RalfR-32.jpg | Ralf Roletschek (talk) - Wissensmanagement mit Wikis | FAL | https://commons.wikimedia.org/wiki/File:12-01-03-autostadtl-by-RalfR-32.jpg
ref-stratos-1.jpg | File:1975 Lancia Stratos HF Stradale 2.jpg | Calreyn88 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1975_Lancia_Stratos_HF_Stradale_2.jpg
ref-stratos-2.jpg | File:1975 Lancia Stratos HF Stradale 7.jpg | Calreyn88 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1975_Lancia_Stratos_HF_Stradale_7.jpg
ref-stratos-3.jpg | File:1975 Lancia Stratos HF Stradale 4.jpg | Calreyn88 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1975_Lancia_Stratos_HF_Stradale_4.jpg
ref-stratos-4.jpg | File:1975 Lancia Stratos HF Stradale 9.jpg | Calreyn88 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1975_Lancia_Stratos_HF_Stradale_9.jpg
ref-stratos-5.jpg | File:1975 Lancia Stratos HF Stradale 8.jpg | Calreyn88 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1975_Lancia_Stratos_HF_Stradale_8.jpg
ref-stratos-6.jpg | File:Paris - RM auctions - 20150204 - Lancia Stratos HF Stradale - 1977 - 002.jpg | Thesupermat | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Paris_-_RM_auctions_-_20150204_-_Lancia_Stratos_HF_Stradale_-_1977_-_002.jpg
ref-stratos-7.jpg | File:1975 Lancia Stratos HF Stradale Low.jpg | MrWalkr | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1975_Lancia_Stratos_HF_Stradale_Low.jpg
ref-stratos-8.jpg | File:1974 Lancia Stratos HF Stradale (73284).jpg | Calreyn88 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:1974_Lancia_Stratos_HF_Stradale_(73284).jpg
